Customer_ID,Date,Year,Month,State,City,Festival,Gender,Age_Group,Metal,Product_Type,Weight_g,Purity,Payment_Method,Store_Type,Quantity,Price_INR,Discount_%,Total_Amount_INR
1,2022-02-24,2022,2,Uttar Pradesh,Lucknow,None,Male,60+,Gold,Coin,5,24K,UPI,Online,1,62155,2,60911.9
2,2023-06-22,2023,6,Gujarat,Vadodara,Wedding Season,Female,18-25,Gold,Jewelry,50,22K,Credit Card,Online,1,73826,7,68658.18
3,2024-11-09,2024,11,Gujarat,Surat,Holi,Female,18-25,Gold,Bar,50,18K,UPI,Jewelry Shop,2,57979,0,115958.0
4,2023-07-23,2023,7,Maharashtra,Nagpur,Akshaya Tritiya,Male,26-35,Silver,Jewelry,50,22K,Debit Card,Mall Store,1,81293,0,81293.0
5,2023-12-30,2023,12,Rajasthan,Udaipur,None,Male,60+,Gold,Bar,10,18K,Cash,Online,2,69620,2,136455.2
6,2024-08-21,2024,8,Delhi,New Delhi,Diwali,Male,18-25,Silver,Coin,50,22K,UPI,Online,3,84770,7,236508.3
7,2023-12-21,2023,12,Tamil Nadu,Coimbatore,Dhanteras,Male,60+,Gold,Bar,20,18K,Debit Card,Mall Store,2,69528,5,132103.2
8,2021-07-12,2021,7,Delhi,New Delhi,Diwali,Male,26-35,Gold,Bar,50,18K,UPI,Jewelry Shop,3,57276,5,163236.6
9,2023-12-29,2023,12,Delhi,New Delhi,None,Female,18-25,Silver,Coin,50,24K,Debit Card,Online,1,85712,0,85712.0
10,2024-05-07,2024,5,Uttar Pradesh,Agra,None,Male,26-35,Silver,Coin,10,18K,UPI,Mall Store,1,79274,7,73724.82
11,2021-08-26,2021,8,Karnataka,Mysore,Dhanteras,Male,18-25,Gold,Bar,50,24K,Cash,Online,2,57626,3,111794.44
12,2023-05-18,2023,5,Uttar Pradesh,Kanpur,Holi,Male,36-45,Gold,Coin,20,22K,Debit Card,Online,3,64151,7,178981.29
13,2023-08-01,2023,8,Gujarat,Ahmedabad,Holi,Male,18-25,Gold,Jewelry,5,24K,UPI,Online,1,67615,7,62881.95
14,2026-06-12,2026,6,Rajasthan,Udaipur,Dhanteras,Male,60+,Gold,Bar,50,24K,Debit Card,Jewelry Shop,1,74327,3,72097.19
15,2026-03-28,2026,3,Gujarat,Ahmedabad,None,Male,18-25,Gold,Jewelry,50,18K,Credit Card,Online,2,69491,5,132032.9
16,2023-01-22,2023,1,Gujarat,Ahmedabad,Akshaya Tritiya,Female,26-35,Gold,Jewelry,50,18K,UPI,Online,2,73029,2,143136.84
17,2026-06-13,2026,6,Uttar Pradesh,Agra,Wedding Season,Male,46-60,Gold,Jewelry,10,22K,UPI,Jewelry Shop,1,58385,2,57217.3
18,2026-06-17,2026,6,Karnataka,Mysore,Dhanteras,Male,36-45,Silver,Jewelry,5,18K,UPI,Mall Store,3,81283,7,226779.57
19,2022-10-07,2022,10,Karnataka,Bangalore,Diwali,Male,26-35,Gold,Jewelry,5,18K,Cash,Jewelry Shop,2,75492,7,140415.12
20,2026-11-12,2026,11,Maharashtra,Mumbai,Akshaya Tritiya,Female,26-35,Gold,Bar,20,24K,Credit Card,Jewelry Shop,2,59316,7,110327.76
21,2026-02-21,2026,2,Gujarat,Vadodara,Holi,Male,18-25,Silver,Bar,10,18K,Credit Card,Online,2,77058,0,154116.0
22,2024-05-24,2024,5,Karnataka,Bangalore,Holi,Male,60+,Gold,Coin,5,24K,Credit Card,Online,2,67697,2,132686.12
23,2024-11-05,2024,11,Maharashtra,Mumbai,Dhanteras,Female,60+,Silver,Coin,20,24K,UPI,Mall Store,3,77110,2,226703.4
24,2023-12-09,2023,12,Delhi,New Delhi,Dhanteras,Female,60+,Gold,Bar,50,18K,UPI,Online,2,57335,2,112376.6
25,2025-10-27,2025,10,Maharashtra,Mumbai,Dhanteras,Male,36-45,Gold,Coin,5,22K,Cash,Mall Store,3,65311,7,182217.69
26,2022-09-26,2022,9,Gujarat,Vadodara,Dhanteras,Male,26-35,Gold,Coin,5,24K,Credit Card,Jewelry Shop,3,68673,5,195718.05
27,2021-06-08,2021,6,Rajasthan,Jaipur,Wedding Season,Male,26-35,Silver,Coin,20,22K,Cash,Online,3,70349,0,211047.0
28,2024-12-09,2024,12,Maharashtra,Mumbai,None,Female,60+,Silver,Coin,5,24K,Credit Card,Online,2,75042,0,150084.0
29,2024-07-08,2024,7,Tamil Nadu,Coimbatore,Wedding Season,Male,46-60,Gold,Bar,10,22K,UPI,Mall Store,3,58383,5,166391.55
30,2024-09-14,2024,9,Delhi,New Delhi,Holi,Female,18-25,Gold,Bar,20,18K,Credit Card,Mall Store,2,69375,0,138750.0
31,2023-02-25,2023,2,Delhi,New Delhi,Wedding Season,Female,26-35,Silver,Bar,20,22K,UPI,Jewelry Shop,2,85888,7,159751.68
32,2025-12-15,2025,12,Karnataka,Bangalore,Wedding Season,Male,60+,Silver,Coin,10,18K,UPI,Jewelry Shop,3,84813,3,246805.83
33,2023-03-27,2023,3,Tamil Nadu,Coimbatore,Dhanteras,Male,18-25,Gold,Jewelry,50,18K,UPI,Jewelry Shop,3,61536,3,179069.76
34,2021-01-23,2021,1,Delhi,New Delhi,Diwali,Female,26-35,Silver,Jewelry,50,24K,Cash,Online,2,79407,2,155637.72
35,2024-07-23,2024,7,Delhi,New Delhi,Wedding Season,Female,60+,Silver,Coin,10,18K,Debit Card,Jewelry Shop,3,88752,7,247618.08
36,2025-12-07,2025,12,Karnataka,Bangalore,Diwali,Female,26-35,Silver,Coin,20,22K,UPI,Online,2,81330,2,159406.8
37,2025-08-27,2025,8,Gujarat,Ahmedabad,Wedding Season,Female,60+,Silver,Coin,50,24K,Cash,Jewelry Shop,1,85265,2,83559.7
38,2025-05-17,2025,5,Delhi,New Delhi,Wedding Season,Male,46-60,Silver,Jewelry,20,22K,Debit Card,Online,1,80075,3,77672.75
39,2026-12-28,2026,12,Delhi,New Delhi,Diwali,Female,60+,Silver,Bar,5,24K,Debit Card,Online,1,86774,5,82435.3
40,2023-05-17,2023,5,Rajasthan,Udaipur,Wedding Season,Female,36-45,Gold,Coin,20,22K,Credit Card,Online,2,56328,5,107023.2
41,2021-06-14,2021,6,Delhi,New Delhi,Diwali,Male,26-35,Gold,Jewelry,10,24K,Cash,Jewelry Shop,1,68806,0,68806.0
42,2022-11-19,2022,11,Uttar Pradesh,Lucknow,Holi,Male,26-35,Gold,Coin,5,18K,UPI,Jewelry Shop,3,70259,3,204453.69
43,2023-09-22,2023,9,Tamil Nadu,Coimbatore,Diwali,Female,60+,Silver,Jewelry,5,22K,Debit Card,Mall Store,1,90279,0,90279.0
44,2025-11-11,2025,11,Karnataka,Bangalore,Akshaya Tritiya,Female,26-35,Silver,Coin,10,18K,Credit Card,Mall Store,2,63278,5,120228.2
45,2024-08-13,2024,8,Rajasthan,Udaipur,Dhanteras,Male,36-45,Silver,Coin,10,22K,Debit Card,Jewelry Shop,3,78470,7,218931.3
46,2023-11-25,2023,11,Maharashtra,Nashik,Akshaya Tritiya,Female,60+,Silver,Bar,20,18K,UPI,Mall Store,2,70864,2,138893.44
47,2026-05-05,2026,5,Gujarat,Ahmedabad,None,Female,46-60,Gold,Jewelry,5,22K,Cash,Jewelry Shop,2,67285,7,125150.1
48,2026-12-15,2026,12,Uttar Pradesh,Lucknow,Akshaya Tritiya,Female,60+,Silver,Coin,20,18K,Debit Card,Jewelry Shop,3,87632,3,255009.12
49,2022-05-05,2022,5,Karnataka,Mysore,None,Male,26-35,Gold,Jewelry,50,22K,Credit Card,Online,3,58537,2,172098.78
50,2021-02-27,2021,2,Rajasthan,Jaipur,None,Male,36-45,Silver,Jewelry,5,18K,Credit Card,Mall Store,2,71930,2,140982.8
51,2026-04-07,2026,4,Gujarat,Vadodara,Wedding Season,Female,36-45,Silver,Jewelry,5,22K,Debit Card,Online,1,67690,7,62951.7
52,2021-08-08,2021,8,Rajasthan,Jaipur,Dhanteras,Male,60+,Silver,Coin,5,24K,UPI,Mall Store,1,83269,7,77440.17
53,2024-05-02,2024,5,Rajasthan,Udaipur,Holi,Female,36-45,Gold,Bar,5,18K,UPI,Online,2,72749,5,138223.1
54,2022-12-13,2022,12,Uttar Pradesh,Lucknow,Holi,Male,26-35,Silver,Jewelry,50,22K,Debit Card,Jewelry Shop,1,85604,2,83891.92
55,2023-08-15,2023,8,Maharashtra,Mumbai,Akshaya Tritiya,Male,46-60,Silver,Jewelry,10,18K,Cash,Jewelry Shop,2,85748,5,162921.2
56,2024-03-28,2024,3,Rajasthan,Jaipur,Wedding Season,Male,46-60,Gold,Bar,20,18K,Debit Card,Jewelry Shop,1,58828,3,57063.16
57,2024-08-13,2024,8,Tamil Nadu,Coimbatore,Holi,Female,18-25,Silver,Jewelry,10,18K,UPI,Mall Store,3,68174,0,204522.0
58,2025-12-17,2025,12,Rajasthan,Udaipur,Akshaya Tritiya,Male,60+,Gold,Coin,50,24K,Debit Card,Jewelry Shop,2,63077,7,117323.22
59,2025-08-14,2025,8,Delhi,New Delhi,None,Female,36-45,Silver,Bar,50,18K,UPI,Jewelry Shop,1,86659,2,84925.82
60,2021-01-05,2021,1,Maharashtra,Nagpur,None,Female,46-60,Silver,Jewelry,10,18K,Credit Card,Mall Store,1,76808,5,72967.6
61,2022-06-21,2022,6,Rajasthan,Udaipur,Akshaya Tritiya,Female,46-60,Silver,Jewelry,5,18K,Cash,Mall Store,1,89090,2,87308.2
62,2022-04-10,2022,4,Gujarat,Surat,Wedding Season,Male,26-35,Gold,Coin,20,18K,Credit Card,Jewelry Shop,2,71936,0,143872.0
63,2025-04-21,2025,4,Rajasthan,Udaipur,Dhanteras,Male,18-25,Silver,Coin,50,22K,Credit Card,Online,2,71170,7,132376.2
64,2026-01-04,2026,1,Karnataka,Mangalore,Holi,Female,36-45,Silver,Coin,50,22K,Credit Card,Online,3,82449,5,234979.65
65,2026-04-22,2026,4,Uttar Pradesh,Lucknow,None,Female,46-60,Silver,Bar,10,22K,UPI,Online,2,72259,0,144518.0
